source,within_encoder_variance_fraction,within_frac_ci95_lo,within_frac_ci95_hi,between_encoder_variance_fraction,ari_min_real,ari_max_real,ari_range_real,n_encoders,n_seeds
sweep_table_3seed_n14,0.282,0.123,0.549,0.718,0.489,0.86,0.371,14,3
saved_emb_30seed_n3,0.159,0.072,0.229,0.841,0.579,0.746,0.167,3,30
