embedding,group,effective_rank,ari
ICA-30,ICA,29.99999237060547,0.6221039111407416
Noise-30,control,29.954892520584437,-0.0003924209534088
RandProj-30,control,29.8332036336263,0.058112563714107
scVI-30,scVI,28.146507263183594,0.4990359914041408
PCA-30,PCA,27.580899556477863,0.7325440421252422
ShufPCA-30,control,27.541215896606445,-0.0029640105325296
AE-30,AE,27.184947967529297,0.6951063149287527
NMF-30,NMF,24.978647867838543,0.8545854596687699
