encoder,family,dim,stochastic,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,silhouette_lab,linear_probe,ari,nmi,knn_acc
PCA-50,PCA,50,False,0.003646007350956333,46.973532358805336,28.18160219580679,-3.548630396525065,0.8483065366744995,0.016008756288322667,0.12114518880844109,0.9519866597665461,0.8132092006398702,0.8547099137944617,0.9307618404155406
PCA-30,PCA,30,False,0.007585223453740234,27.580899556477863,20.125021441349933,-3.2407937049865723,0.5936705470085144,0.012780944883004101,0.17524034778277076,0.9567846395645256,0.7325440421252422,0.8254392608822062,0.9485749333946677
PCA-15,PCA,15,False,0.018414872388044932,13.497564951578775,11.796564370792884,-2.6726715564727783,0.27259636918703717,0.016708725392770133,0.2800634702046712,0.9586800164836218,0.8141379553887713,0.8538559141154337,0.9601997201617695
PCA-10,PCA,10,False,0.027887428179383267,9.042818387349447,8.690757245577352,-2.3054866790771484,0.13552336891492203,0.018527074334168833,0.3552009661992391,0.9583021869549384,0.7295039213354549,0.8236242413645077,0.9615893278132367
PCA-5,PCA,5,False,0.05439038947224617,4.795272350311279,4.766452390644232,-1.673366109530131,0.02505930140614503,0.011912258422952201,0.4571178158124288,0.950977037931497,0.6256356109180846,0.7763246063730881,0.9499674160964483
PCA-2,PCA,2,False,0.07021587342023847,1.9820433457692463,1.9405017715405946,-1.2615318695704143,0.00036251074440463334,0.004826930554362434,0.4082063436508178,0.904098863396776,0.5511100509816304,0.6912627026509254,0.9011917083548963
ICA-30,ICA,30,True,0.0009175194621396,29.99999237060547,19.709458709147537,-3.7094357013702393,0.872550368309021,0.006671655563187767,0.0531353242695331,0.9603228681501924,0.6221039111407416,0.7701465575797762,0.8359884422977403
ICA-10,ICA,10,True,0.009661099873483132,10.000000953674316,8.028338778922077,-2.928560654322306,0.19695585469404855,0.012582448410426899,0.25839431087176007,0.9590609606501447,0.8601133703595454,0.8462781009170687,0.9553957506756369
NMF-30,NMF,30,True,0.018382837995886733,24.978647867838543,15.996610555993257,-1.889263351758321,0.21568271021048224,0.016350974935859835,0.23989709715048466,0.9398522703313975,0.8545854596687699,0.8316350773746367,0.9388421693212964
NMF-10,NMF,10,True,0.06602720667918517,8.71008555094401,6.600118742335386,-1.6548213561375935,0.03558181474606193,0.013989692235017967,0.4151172637939453,0.9361882582945201,0.8457260411427695,0.8230056219969129,0.9397269660552393
AE-30,AE,30,True,0.0064912899397313005,27.184947967529297,20.060963196257873,-3.259604295094808,0.6363551020622253,0.029896796470083933,0.12393084416786826,0.9369508653901444,0.6951063149287527,0.7780179976422689,0.9015692982960536
AE-10,AE,10,True,0.014293391257524435,9.313870112101236,9.20965682976413,-2.753034830093384,0.2417490482330322,0.021830034415619103,0.2345887223879496,0.9440215724608514,0.6829452574617078,0.7714671573336324,0.9358106683533629
scVI-30,scVI,30,True,-0.0002012540522476051,28.146507263183594,16.335672045733116,-3.511845588684082,0.6631187200546265,0.04871875920042217,0.09382007271051403,0.9359366913920993,0.49903599140414084,0.6976164763678575,0.9292428554999712
scVI-10,scVI,10,True,1.301020771889999e-05,9.815878550211588,8.824685429223088,-3.023563543955485,0.29292881488800043,0.015352847380910266,0.1351039260625839,0.9365687232859908,0.48920076215052394,0.691992710634307,0.9334121576294252
RandProj-30,control,30,True,-0.00025200204618154717,29.8332036336263,22.900973378384816,-3.728413740793864,0.961695114771525,0.0038777599266213666,-0.0030106458192069667,0.582001705863186,0.05811256371410703,0.10223780792689813,0.48824727349395286
Noise-30,control,30,True,-0.0004134998297523,29.954892520584437,22.441301948156767,-3.7358960273294812,0.9719502555309646,0.0030338799455946,-0.02093031008162233,0.43138644509612245,-0.0003924209534088333,0.0048966047525032,0.3870383148371763
ShufPCA-30,control,30,True,0.0027736101765185,27.541215896606445,20.741471127723816,-3.416252930959066,0.7125275333722433,0.0028863235446069334,-0.02261499750117457,0.4299968374446553,-0.002964010532529666,0.005996899049858267,0.39183437793494713
