encoder,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc
PCA-50,0.0021715229677302006,49.09944911080873,14.68335706296987,-3.035778127844626,0.6476433552543867,0.13522107756802046,0.16329684083120286,0.36925523492894136,0.6515074847143159
PCA-30,0.0036528240925908766,29.448196772947668,12.54231471688434,-2.781365105725227,0.45718418123002436,0.08998660195259722,0.16817553128134435,0.3899825128007857,0.6695754988212294
PCA-15,0.006607729435020239,14.75915845087168,9.048164623572422,-2.277666094588766,0.21343166267280864,0.0801835076741461,0.1792402002225876,0.42695931670446613,0.6894152626837636
PCA-10,0.009092103398779416,9.876290743145487,7.424629552505631,-1.8906192319114865,0.1071795794639971,0.054281987562437205,0.17014399503796632,0.3639476793106837,0.6638927222893067
PCA-5,0.016209319820427972,4.962966995401878,4.571980230999635,-1.1936617981591593,0.0174131422912193,0.029070896113474142,0.14151722000287778,0.2741851971403222,0.5492836332969161
PCA-2,0.05162217404889933,1.9920812654076399,1.957337058611196,-0.15494908824968112,0.00011994835227282644,0.03573845511687967,0.013145396717634365,0.04535092635928233,0.26902205163590365
RandProj-30,0.0007729611610599171,29.853143808401985,21.082303473930747,-3.3476245445038866,0.8875177135385736,0.034675066584607124,0.014664401946680021,0.02853846870532774,0.22049934832192897
Noise-30,-0.00041349982975230864,29.954892520584437,22.441301948156767,-3.7358960273294812,0.9719502555309646,0.0030338799455946718,0.00036730642202796094,0.005132901362389611,0.12383009410998026
ShufPCA-30,0.0006175152146149311,29.429885451748152,21.448687159754154,-2.9821449399027897,0.7137016364237655,0.0027811286601906455,-0.0002405178177014261,0.004267794889425768,0.12837938205585264
