encoder,family,dim,stochastic,seed,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc,silhouette_lab,linear_probe
PCA-50,PCA,50,False,0,0.002913523931056261,46.97886276245117,27.56727740782216,-3.5487234592437744,0.8487918972969055,0.014004074853208663,0.8961822702664024,0.8831875976852613,0.9253248806854121,0.12106597423553467,0.9552706859870048
PCA-30,PCA,30,False,0,0.006261665374040604,27.584138870239258,20.29055684543353,-3.24577260017395,0.5928574204444885,0.017161698940237266,0.6455379117151826,0.7963333422684291,0.9495838364671382,0.17406828701496124,0.9560246679316888
PCA-15,PCA,15,False,0,0.016595983877778053,13.497339248657227,11.720444375323162,-2.6772732734680176,0.2726140022277832,0.017112218996114044,0.651756488192994,0.7984955654547851,0.9613391984359726,0.2797902822494507,0.9601942096486689
PCA-10,PCA,10,False,0,0.026164287701249123,9.047003746032715,8.586938827310295,-2.2990245819091797,0.13354195654392242,0.020530056739198187,0.8959284748877594,0.879536364068688,0.960956816744293,0.3608243763446808,0.9594366338910932
PCA-5,PCA,5,False,0,0.05222572013735771,4.795327663421631,4.787812570541391,-1.6768479347229004,0.025057880207896233,0.01238388634771446,0.6263839532264935,0.7774119522417567,0.9499633431085044,0.4570889174938202,0.9518580012650222
PCA-2,PCA,2,False,0,0.06747660785913467,1.9820433855056763,1.9405082595866745,-1.266288161277771,0.0003625113458838314,0.004822573369800892,0.5524550748559199,0.6912868123960948,0.9040947904088321,0.40820616483688354,0.9048552412167213
ICA-30,ICA,30,True,0,0.0005563697195611894,29.9999942779541,19.709458113617128,-3.7107207775115967,0.872550368309021,0.006511916069836124,0.6234036155722573,0.7709996376382605,0.8339622505893853,0.05313529074192047,0.9598147030073025
ICA-10,ICA,10,True,0,0.008028106763958931,10.000000953674316,8.028338832261726,-2.935835599899292,0.1969558745622635,0.01296604796560407,0.860004303261594,0.8464427798019059,0.9567829624518429,0.258394330739975,0.9594373526536714
NMF-30,NMF,30,True,0,0.016035307198762894,25.329212188720703,16.076373599800853,-1.9032409191131592,0.22337400913238525,0.01542437497288919,0.8667387958515348,0.8459527038815945,0.9366978609625669,0.23134200274944305,0.9401062331090795
NMF-10,NMF,10,True,0,0.06480731070041656,8.72734546661377,6.6015108485231,-1.6561321020126343,0.03567948564887047,0.015366519625373899,0.8453879777231055,0.8222780179103165,0.9393508136392386,0.41413256525993347,0.9366949859122535
AE-30,AE,30,True,0,0.004928327165544033,27.408084869384766,20.207746691991677,-3.2994537353515625,0.6507024765014648,0.031006452184464444,0.6100687669083191,0.7581594803409136,0.899545742050486,0.12292128801345825,0.9359445977804611
AE-10,AE,10,True,0,0.014959768392145634,9.29468822479248,9.343487894193107,-2.7988650798797607,0.2501221001148224,0.022654972189587883,0.597793775563416,0.7593888926570547,0.9385853314933013,0.2444075345993042,0.946163964119372
RandProj-30,control,30,True,0,-0.0004065547836944461,29.83133316040039,22.748425633237744,-3.7296886444091797,0.9619103670120239,0.0035647994263455305,0.0727688548691428,0.11778213280999246,0.492414898510724,-0.003956074360758066,0.5886953021677879
Noise-30,control,30,True,0,0.00025424168977366234,29.95807746969755,22.41530207413357,-3.73363633971503,0.9720988697710022,0.0029382985318777846,-0.00028266151210146694,0.00487047717192779,0.395753550687137,-0.015422927901012427,0.4298681789431315
ShufPCA-30,control,30,True,0,0.0028577311895787716,27.548742294311523,21.07439578039968,-3.4195609092712402,0.71400386095047,0.0028682723514231187,0.00018571696079066856,0.00586668695958567,0.3927139037433155,-0.020429132506251335,0.4321459375539072
scVI-30,scVI,30,True,0,-0.0003777091042138636,28.247516632080078,16.199914602375376,-3.523534059524536,0.6687822937965393,0.047461566882129734,0.5082162059469427,0.7034424475237419,0.9329056695992181,0.09479063749313354,0.9355535909378414
scVI-10,scVI,10,True,0,0.0007713685627095401,9.792596817016602,8.917449355759999,-3.0054304599761963,0.29192283749580383,0.014469533934384526,0.47424597228820226,0.6868039509266022,0.9291170720487608,0.1282995343208313,0.9325268817204302
PCA-50,PCA,50,False,1,0.004300267901271582,46.97149658203125,28.591669959980837,-3.5483367443084717,0.848126232624054,0.017580613191725377,0.8984829173320134,0.8823971368627839,0.9332902075786326,0.12126628309488297,0.950724512678972
