checkpoint,method,eff_rank,probe_acc
dino_rn50,DINO,283.889557,0.623250
vicreg_rn50,VICReg,377.076935,0.633750
barlowtwins_rn50,BarlowTwins,380.650330,0.620250
swav_100ep,SwAV,168.019287,0.620500
swav_200ep,SwAV,203.087860,0.637750
swav_400ep,SwAV,230.743042,0.655000
swav_800ep,SwAV,212.298462,0.654500
mocov2_200ep,MoCo-v2,140.045853,0.595250
mocov2_800ep,MoCo-v2,152.322876,0.613000
simsiam_100ep,SimSiam,235.251053,0.596750
swav_400ep_2x224,SwAV,236.416992,0.611750
swav_200ep_bs256,SwAV,197.886658,0.617750
swav_400ep_bs256,SwAV,216.859055,0.638000
deepclusterv2_400ep,DeepCluster-v2,196.111923,0.657750
deepclusterv2_800ep,DeepCluster-v2,253.734818,0.662000
selav2_400ep,SeLa-v2,171.695312,0.609250
mocov1_200ep,MoCo-v1,71.102364,0.442000
