encoder,seed,modality,anisotropy,effective_rank,intrinsic_dim_twonn,uniformity,alignment,knn_consistency,ari,nmi,knn_acc
PCA-50,0,text,0.002664125735268904,49.0997459322473,14.666852777606382,-3.034044937084368,0.6461163604101956,0.1381678832740879,0.1733275734786975,0.38501130051712645,0.6455659536541889
PCA-30,0,text,0.00399391648983948,29.448447724945527,12.795670263348063,-2.7796945446848333,0.45775587160577014,0.08513814391094367,0.1615357926227697,0.36261578488627016,0.6656603990569835
PCA-15,0,text,0.007177271612183744,14.762650745891737,8.918565444219512,-2.2820499149405595,0.21660402079440114,0.07747476386860509,0.17489060649153199,0.4236097481336682,0.6906826806969122
PCA-10,0,text,0.01018790156003649,9.876927292404721,7.491947566662643,-1.891211751166579,0.10736808994808317,0.049465267940618375,0.1755096537213322,0.3706022747689719,0.6641466850669886
PCA-5,0,text,0.01824858490417234,4.963020955278842,4.609008453534689,-1.1917918625178305,0.01740630579134505,0.0410358811600666,0.13943674227542568,0.2723821426042228,0.5500388131792306
PCA-2,0,text,0.05450019904162632,1.9920791132899107,1.9568746080004449,-0.1548473029333899,0.00012031554250635936,0.03721289904428907,0.013216633250014745,0.04543329701338092,0.27028779253636936
RandProj-30,0,text,0.0011221461730763218,29.847913325601564,20.66414655232597,-3.340524127069381,0.8850964232673812,0.038293233309774515,0.011575727677383404,0.02306060303900192,0.22518112816974298
Noise-30,0,text,0.00025424168977366234,29.95807746969755,22.41530207413357,-3.73363633971503,0.9720988697710022,0.0029382985318777846,0.00043819127542806056,0.005184252877034683,0.12167141049968375
ShufPCA-30,0,text,0.0010550225927458707,29.42989659245754,21.6738350692714,-2.982780411907441,0.7169111599611204,0.0025536213805801527,-0.00041736219419923233,0.00411768843880514,0.1383617963314358
PCA-50,1,text,0.0013182353152849761,49.098521278152255,14.887080397884777,-3.042466551628966,0.6500116090183815,0.13823544690251927,0.1567519848646807,0.36149809741899425,0.6546597377954114
PCA-30,1,text,0.0031865944533595136,29.451745535151485,12.733048776727744,-2.787588471746244,0.4581751293044266,0.09246510381543574,0.174925722710639,0.43594867221384404,0.6667938876430337
PCA-15,1,text,0.0055473574686074455,14.756455156761515,8.820464079712757,-2.2794969126643503,0.2132246110416858,0.08425147492786172,0.18518482009917386,0.4309662978387062,0.6804410327180725
PCA-10,1,text,0.00800066109028011,9.876245153223106,7.259248779802413,-1.8894281172288323,0.10645355125177808,0.04598599493146154,0.16581958525065235,0.35627697854715884,0.6656532114312
PCA-5,1,text,0.013523224824493366,4.96300276215227,4.6286192928832435,-1.1982788709603178,0.01742369752415962,0.020446533954194452,0.14520807078486625,0.2797135088020376,0.5420684549479616
PCA-2,1,text,0.04939709355132573,1.9920821220684033,1.9697870881771657,-0.15513309801356673,0.00011995002187728671,0.03302985082827055,0.013419087629872439,0.045307963641417794,0.2679992524869185
RandProj-30,1,text,0.000639719926811569,29.853878749025004,21.321504625189885,-3.3551216175272325,0.8877731133525572,0.035031123279079424,0.016065787013351082,0.03042293262802533,0.21304050945891556
Noise-30,1,text,-0.00011544006857806206,29.951140865608938,22.40884853469289,-3.734011547372073,0.9719897773109399,0.002913192849403668,-0.00022241958368708484,0.004054031273257892,0.12281999309987926
ShufPCA-30,1,text,0.0006743345999652653,29.43755572110306,21.22143206959473,-2.9816187419794247,0.7131589512342567,0.002931762755035349,0.000217405703653484,0.004484312490427128,0.12547366453912945
PCA-50,2,text,0.002532207852636722,49.100080122026625,14.49613801341845,-3.0308228948205445,0.646802096334583,0.12925990252745417,0.15981096415023036,0.3612563068507035,0.6542967626933471
PCA-30,2,text,0.003777961334573637,29.44439705874599,12.098225110577214,-2.7768123007446035,0.45562154277987627,0.09235655813141228,0.16806507851062435,0.37138308130224307,0.6762722097636709
PCA-15,2,text,0.007098559224269531,14.758369449961794,9.405464346784997,-2.2714514561613885,0.21046635618233897,0.07882428422597147,0.17764517407705704,0.42630190414102415,0.697122074636306
PCA-10,2,text,0.009087747546021648,9.875699783808633,7.522692311051838,-1.8912178273390479,0.10771709719213006,0.06739469981523169,0.16910274614191445,0.3649637846159204,0.6618782703697315
PCA-5,2,text,0.016856149732618203,4.962877268774522,4.4783129465809735,-1.1909146609993295,0.017409423558153236,0.025730273226161372,0.13990684694834138,0.27045994001470613,0.5557436317635559
PCA-2,2,text,0.05096922955374594,1.992082560864606,1.9453494796559778,-0.1548668638020867,0.0001195794924348332,0.03697261547807939,0.01280046927301591,0.04531151842304827,0.268779109884423
RandProj-30,2,text,0.0005570173832918604,29.857639350579387,21.261259244276385,-3.3472278889150457,0.8896836039957824,0.03070084316496743,0.01635169114930558,0.03213187044895598,0.22327640733712836
Noise-30,2,text,-0.0013793011104525261,29.955459226446827,22.499755235643843,-3.7400401949013404,0.9717621195109518,0.0032501484555025636,0.0008861475743429071,0.006160419936876258,0.1269988787303778
ShufPCA-30,2,text,0.0001231884511336574,29.422204041683855,21.450794340396325,-2.982035665821503,0.7110347980759194,0.002858001844956434,-0.00052159696255853,0.0042013837390450365,0.12130268529699269
